person_name,rank,talent_score,evidence_count,reasons
Alle Rechte,1,4.57,10,Regionalgruppe München | Ingenieure ohne Grenzen; website_lead; Vorstand; Founder; Leitung
Für Studierende,2,4.57,15,Faszination Physik - jDPG Regionalgruppe München! — DPG; website_lead; Vorstand; Leitung
Der Verein,3,4.57,16,Commit to Partnership e.V.: Donate to our organisation (betterplace.org); website_lead; vorstand; Leitung
Venture Capital,4,4.57,15,Willkommen - Akademischer Börsenzirkel München e.V.; Founder; website_lead; President; board
About Us,5,4.57,16,Commit to Partnership e.V.: Donate to our organisation (betterplace.org); website_lead; Founder; President; Head
Social Media,6,4.57,36,Clément Siegenthaler | btS e.V. E-Mail-Adresse Telefon Facebook Instagram Twitter Erste Seite Letzte Seite Download Suche Youtube Xing Datum Zeit Ort Login LinkedIn; website_lead; Vorstand; Leitung; Co-Founder; President
Privacy Policy,7,4.57,28,Not-a-Boring Competition | TUM Boring - Innovation in Tunneling e.V.; President; website_lead; Board; chair
Technical University,8,4.57,39,Support for International & Iranian Students | AIS Munich | Association of Iranian Students in Munich; chair; President; Founder; website_lead; head; Board; lead
Facebook Instagram,9,4.48,8,Alphabelt die Marke für Zahnriemen Sonderlösungen; website_lead; Vorstand
Contact Us,10,4.2975,12,Contact Us via Email or Contact Form | Get a Prompt Response | Association of Iranian Students in Munich; Lead; Board; website_lead; President; Head
LinkedIn Instagram,11,4.29,12,GitHub for teams · Build like the best teams on the planet · GitHub Peak Money Trustpilot Gatsby Tray.io Kubernetes Front Peak Money logo Front App logo Front App logo Tray.io logo Instagram TikTok Twitch; website_lead; CEO; Vorstand; President
Unser Team,12,4.21,13,Gemeinsam für mehr Bildungschancen | Lern-Fair e.V.; Vorstand; Founder; lead; website_lead; Leitung
Business Development,13,4.1975,8,AIESEC in München | Unsere Standorte; Head; website_lead; President; board; Vorstand
Amtsgericht München,14,4.1975,13,Jobboard - MLTech Jobboard - MLTech; Vorstand; website_lead; Chair; President; Board
Human Resources,15,4.185,6,rescriptum – Münchner studentische Rechtszeitschrift; Vorstand; Lead; website_lead; Board
