Name,Spinoff Relevance,Website,Email,LinkedIn,Instagram,X/Twitter,Discord,Facebook,YouTube,GitHub,TikTok,HuggingFace,Luma,Linktree,Slack,University,Sector,Activity Mode
Akademische Energiegenossenschaft @ TUM,A,https://umwelt.asta.tum.de/en/academic-energy-cooperative/,,,,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
Akaflieg München e.V.,A,https://www.akaflieg.vo.tum.de/,info@akaflieg-muenchen.de,https://www.linkedin.com/company/akaflieg-münchen,https://www.instagram.com/akaflieg_muenchen,,,,https://www.youtube.com/user/akafliegmuenchen,,,,,,,TUM/HM,Aerospace & Space,BUILD
AkaModell,A,https://akamodell-muenchen.de/,vorstand@akamodell-muenchen.de,https://de.linkedin.com/company/akamodell,https://www.instagram.com/akamodell/,,,https://www.facebook.com/akamodell/,https://www.youtube.com/channel/akamodellmunchen,,,,,,,TUM,Aerospace & Space,BUILD
Aviation Innovation Research (AIR),A,https://air-initiative.com/work,,https://www.linkedin.com/company/air-initiative,https://www.instagram.com/air.initiative,,,,,,,,,,,TUM,Aerospace & Space,BUILD
Biogenesis,A,https://biogenesismunich.com/,,https://www.linkedin.com/company/biogenesi-munich,,,,,,,,,,,,TUM,Biotech & Life Sciences,BUILD
Bioinformatics Munich Student Lab,A,https://bmsl.dev/,bioinformaticsmunichstudentlab@gmail.com,,,,,,,https://github.com/Bioinformatics-Munich-Student-Lab,,,,,,TUM,Biotech & Life Sciences,BUILD
c.lab – Creative Lab,A,http://creative-lab-hm.de/,,,,https://x.com/clab_hm,,,,,,,,,,HM,Entrepreneurship & Innovation,BUILD
Claude Builders Club Munich,A,https://www.linkedin.com/company/claude-builders-club-munich,,https://www.linkedin.com/company/claude-builders-club-munich,,,,,,,,,,,,TUM,"AI, Data & Software",BUILD
DASH (Exoskeleton Team),A,https://tumdash.com/,,https://de.linkedin.com/company/tumdash,,,,,,,,,,,,TUM,Robotics & Hardware,BUILD
Edventure @ TUM,A,https://edventuretum.wordpress.com/,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
Elara Aerospace,A,https://elara-aerospace.com/,tobias.jager@elara-aerospace.com,https://www.linkedin.com/company/elara-aerospace/,https://www.instagram.com/elara_aerospace/,,,,,https://github.com/elara-aerospace,,,,,,TUM,Aerospace & Space,BUILD
Enactus München,A,https://enactus-muenchen.de/,team@enactus-muenchen.de,https://www.linkedin.com/company/enactus-muenchen/,https://www.instagram.com/enactusmuenchen_,,,,https://www.youtube.com/user/enactusMunich/videos?app=desktop&view=0&sort=dd&shelf_id=0,,,,https://lu.ma/calendar/cal-GpkIbbuv5X1hplz,,,TUM,Entrepreneurship & Innovation,BUILD
Enactus Straubing,A,https://enactus-straubing.de/,teamvorstand@straubing.enactus.team,https://de.linkedin.com/company/enactus-straubing,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,BUILD
Falcon Vision,A,https://falconvision.org/,contact@falconvision.org,https://www.linkedin.com/in/falcon-vision-888235303/,,,,,,,,,,,,TUM,Aerospace & Space,BUILD
Flightlab,A,https://www.hm-flightlab.com/,,https://www.linkedin.com/company/hm-flightlab,https://www.instagram.com/flightlab_muc,,,,,,,,,,,HM,Aerospace & Space,BUILD
Future Foods,A,https://www.linkedin.com/company/future-foods-tum,,https://www.linkedin.com/company/future-foods-tum,,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
Future Founders Initiative,A,https://ffievents.com/event/muenchen,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
h4tum,A,https://www.sec.in.tum.de/i20/ctf,info@h4tum.de,,,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
hackaTUM,A,https://hack.tum.de/,hackatum.in@tum.de,,,https://twitter.com/hackatum,,https://www.facebook.com/groups/hackatum,https://www.youtube.com/channel/UCSwsPhzX_2Mlc37Oe45tElg,https://github.com/TUM-Dev,,,,,,TUM,"AI, Data & Software",EDUCATE
HORYZN,A,https://www.horyzn.org,info@horyzn.org,https://www.linkedin.com/in/balazsnagy1994,,,,,,,,,,,,TUM,Aerospace & Space,BUILD
Hummingbird,A,https://www.asg.ed.tum.de/ltf/studium/hummingbird,info-hummingbird.ltf@ed.tum.de,https://de.linkedin.com/company/tum-lehrstuhl-f%C3%BCr-turbomaschinen-und-flugantriebe,,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
Hydro2Motion,A,https://hydro2motion.eu/,info@hydro2motion.de,https://www.linkedin.com/company/hydro2motion,,,,,,,,,,,,HM,Mobility & Transport,COMPETE
iGEM Munich (LMU Side),A,,igem@bio.lmu.de,https://www.linkedin.com/company/igem-munich,https://www.instagram.com/igem.munich/,,,https://www.facebook.com/Munich.iGEM/,https://www.youtube.com/@igemmunich,,,,https://lu.ma/75a1wzlf,,,LMU,Biotech & Life Sciences,BUILD
iGEM Straubing,A,https://igem-straubing.de/,,https://www.linkedin.com/company/igem-tum-campus-straubing/,,,,,,https://github.com/TUM-Dev,,,,,,TUM,Biotech & Life Sciences,BUILD
Impetus Sailing Team,A,https://impetussailing.de/,b.wittmann@impetussailing.de,https://www.linkedin.com/company/futurefoundersinitiative,https://www.instagram.com/futurefoundersinitiative,,,,,,,,,,,TUM,Mobility & Transport,COMPETE
Innovis VC,A,https://www.innovis.vc/,info@innovis.vc,https://www.linkedin.com/company/innovisvc/,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,NETWORK
LEVITUM,A,https://www.levitum.de/,info@levitum.de,https://www.linkedin.com/company/69713305,https://www.instagram.com/levitum.muc,,,,https://www.youtube.com/channel/UC_kspzvcPNq3ojrhYYJDQEQ,,,,,,,TUM,Mobility & Transport,COMPETE
MedTech OneWorld Students,A,https://mtows.de/,,,https://www.instagram.com/tum.mtows/,,,,,,,,,,,TUM,Biotech & Life Sciences,BUILD
Munich NLP,A,https://munich-nlp.com/,,https://www.linkedin.com/company/munich-nlp/,https://www.instagram.com/munichcenter_ml,https://x.com/MunichCenterML,https://discord.com/invite/BgFaZgZ38N,,https://www.youtube.com/@MCML_Munich,https://github.com/munich-nlp,,https://huggingface.co/munichnlp,,,,TUM,"AI, Data & Software",EDUCATE
municHMotorsport,A,http://munichmotorsport.de/,info@munichmotorsport.de,https://de.linkedin.com/in/fabio-schuck-89606b229,https://instagram.com/mucmotorsport?igshid=YmMyMTA2M2Y=,,,https://www.facebook.com/mucmotorsport?locale=de_DE,https://www.youtube.com/@municHMotorsport,,,,,,,HM,Mobility & Transport,COMPETE
muniQuant,A,https://muniquant-website.vercel.app/,contact@quantfinanceclub.de,,,,,,,,,,,,,TUM,Finance & Business Services,BUILD
Nucleate Germany,A,https://nucleate.org/locations/germany,germany@nucleate.org,https://de.linkedin.com/company/nucleategermany,,,,,,,,,https://lu.ma/user/nucleategermany,,,TUM,Biotech & Life Sciences,NETWORK
OneAIM,A,https://www.one-aim.org/,contact@one-aim.org,https://www.linkedin.com/company/oneaimmunich/,https://www.instagram.com/oneaim.munich/,https://twitter.com/DerNicopolidis,,,https://www.youtube.com/m945_muenchen,,,,,,,TUM,"AI, Data & Software",EDUCATE
OpenHardware,A,https://open-hardware-initiative.com/,,,,https://x.com/open_hardware,,,,,,,,,,TUM,Robotics & Hardware,BUILD
OpenSource @ TUM,A,mailto:leads@tum.dev,leads@tum.dev,,,,,,,,,,,,,TUM,"AI, Data & Software",BUILD
PERSIS (SPACE LAB),A,https://me.hm.edu/forschung_entwicklung/forschungsprojekte/spacelab.de.html,,,https://www.instagram.com/hochschulemuenchen,,,,,,,,,,,HM,Aerospace & Space,BUILD
PERSIS (Space Manufacturing),A,,,,,,,,,,,,,,,HM,Aerospace & Space,BUILD
planl_s studio,A,https://www.instagram.com/planlosstudio,,,https://www.instagram.com/planlosstudio,,,,,,,,,,,TUM,Entrepreneurship & Innovation,BUILD
PushQuantum,A,https://www.pushquantum.tech/,hello@pushquantum.tech,https://de.linkedin.com/company/push-quantum,https://www.instagram.com/pushquantum_ev/,,,,,,,,,,,TUM,Quantum & Deep Physics,EDUCATE
RoboTUM,A,https://www.robotum.info/,outreach@robotum.info,https://www.linkedin.com/company/therobotum,,,,,,,,,https://lu.ma/bqtrekm5,,,TUM,Robotics & Hardware,BUILD
Sailsetters,A,https://sailsetters.de/,,https://www.linkedin.com/company/sailsetters,,,,https://www.facebook.com/sailsetters,,,,,,https://linktr.ee/sailsetters,,TUM,Mobility & Transport,COMPETE
Serlo – ein Projekt der Gesellschaft für freie Bildung e. V.,A,https://de.serlo.org/serlo,de@serlo.org,https://www.linkedin.com/company/serlo,,,,,,https://github.com/serlo,,,,,,LMU,Social Impact & Education,BUILD
Space Lab,A,,,,,,,,,,,,,,,HM,Aerospace & Space,BUILD
START Munich,A,https://www.startmunich.de/,info@startmunich.de,https://www.linkedin.com/company/startmunich/,https://instagram.com/enhands,,,,,,,,https://lu.ma/start-munich,,,LMU,Entrepreneurship & Innovation,BUILD
Strascheg Center for Entrepreneurship (SCE),A,https://www.sce.de/en,andreas.gattner@sce.de,https://de.linkedin.com/company/strascheg-center-for-entrepreneurship-ggmbh,,,,,,,,,,,,HM,Entrepreneurship & Innovation,EDUCATE
Synchronized Skies,A,https://syncskies.com/,,https://www.linkedin.com/company/falconvision,https://www.instagram.com/team.falconvision,,,,,,,,,,,TUM,Aerospace & Space,BUILD
TEG – The Entrepreneurial Group e.V.,A,https://www.teg-ev.de/,,https://de.linkedin.com/company/teg-ev,,https://twitter.com/tegev,,https://facebook.com/TheEntrepreneurialGroup,,,,,,,,TUM/LMU,Entrepreneurship & Innovation,EDUCATE
TUfast,A,https://tufast.de/,info@tufast.de,https://de.linkedin.com/company/tufast-racing-team,https://www.instagram.com/tufastracingteam/,,,,,,,,,,,TUM,Mobility & Transport,COMPETE
TUfast Eco,A,https://tufast-eco.de/,info.eco@tufast.de,https://www.linkedin.com/company/tufast-eco/,https://www.instagram.com/tufastecoteam/,https://x.com/tufast_eco,,,,,,,,,,TUM,Mobility & Transport,COMPETE
TUfast Racing Team,A,https://tufast-racingteam.de/,info.racing@tufast.de,https://de.linkedin.com/company/tufast-racing-team,https://www.instagram.com/tufastracingteam/,,,,,,,,,,,TUM,Mobility & Transport,COMPETE
TUM Autonomous Motorsport,A,https://www.tum-venture-labs.de/teams/tum-autonomous-motorsport,alexander.wischnewski@tum.de,,,,,,,,,,,,,TUM,Mobility & Transport,COMPETE
TUM Blockchain Club,A,https://www.tum-blockchain.com/,relations@tum-blockchain.com,https://www.linkedin.com/company/tum-blockchain-club/,,https://x.com/tbc_munich,,,,https://github.com/TUM-Blockchain-Club,,,,,https://blockchain-tum.slack.com/,TUM,"AI, Data & Software",EDUCATE
TUM Boring,A,https://tum-boring.com/,team@tum-boring.com,https://www.linkedin.com/company/tum-boring/,https://www.instagram.com/tum_boring/,,,,,,,,,,,TUM,Mobility & Transport,COMPETE
TUM Carbon Removal Initiative,A,https://www.tumcarbon.com/,management@tumcarbon.com,https://www.linkedin.com/company/tum-carbon-removal-initiative/,,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
TUM Developers,A,https://github.com/TUM-Dev,leads@tum.dev,,,,,,,https://github.com/TUM-Dev,,,,,,TUM,"AI, Data & Software",BUILD
TUM Hyperloop (NEXT Prototypes),A,https://tumhyperloop.com/,gabriele.semino@tum.de,https://www.linkedin.com/company/tumhyperloop/,https://www.instagram.com/tumhyperloop/,https://x.com/TUM_Hyperloop,,https://www.facebook.com/tumboring,,,,,https://lu.ma/g1ymx2rl,,,TUM,Mobility & Transport,COMPETE
TUM iGEM,A,https://igemmunich.mwn.de/,igem@lists.lrz.de,https://de.linkedin.com/company/igem-munich,,,,,,,,,https://lu.ma/75a1wzlf,,,TUM,Biotech & Life Sciences,BUILD
TUM Phoenix Robotics,A,https://www.tum-phoenix.de/home,kontakt@tum-phoenix.de,,,,,,,,,,,,,TUM,Robotics & Hardware,COMPETE
TUM-XR: Student Initiative,A,http://student.tum-xr.com/,contact@tum-xr.com,https://www.linkedin.com/company/tum-xr,https://www.instagram.com/tum.xr,,https://discord.gg/vRmZtnhXDm,,https://www.youtube.com/@tum-xr,https://github.com/TUM-Dev,,,,,,TUM,"AI, Data & Software",BUILD
TUM.ai,A,https://www.tum-ai.com/,contact@tum-ai.com,https://www.linkedin.com/company/tum-ai/,,,,,,https://github.com/tum-ai,,https://huggingface.co/TUM,https://lu.ma/ai_entrepreneurship_lab,,https://join.slack.com/t/tumaipublic/shared_invite/zt-10kg0t1f9-JLRXDxY_d_vprKWgab0cVw,TUM,"AI, Data & Software",EDUCATE
WARR – Wissenschaftliche Arbeitsgemeinschaft für Raketentechnik und Raumfahrt,A,https://warr.de/,info@warr.de,https://www.linkedin.com/company/warrtum/,,,,,,,,,,,,TUM,Aerospace & Space,BUILD
180 Degrees Consulting Munich,B,https://www.180dcmunich.org/,info@180dcmunich.org,https://www.linkedin.com/in/arthur-gersbacher-9a9789222,,,,,,,,,,,,TUM/LMU,Finance & Business Services,CONSULT
Academy Consult,B,https://academyconsult.de/,,,,,,,,,,,,,,LMU,Finance & Business Services,CONSULT
ACM Student Chapter Munich,B,https://dsl.ifi.lmu.de/cms/news/acm-student-chapter,,,,,,https://www.facebook.com/groups/584705391878246,,,,,,,,LMU,"AI, Data & Software",NETWORK
AIESEC München,B,https://www.aiesec.de/lcs/muenchen,lc.muenchen@aiesec.de,,,,,,,,,,,,,TUM/LMU,Professional & Career Networks,NETWORK
Akademischer Börsenzirkel München,B,https://www.abz-muenchen.de/,,,,,,https://www.facebook.com/CampusZeitung.LMU?ref=br_rs,,,,,,,,TUM,Finance & Business Services,EDUCATE
Alternative Investments Munich,B,https://www.altinvestmunich.de/,,https://www.linkedin.com/in/antonia-zimmermann-1863b2215,,,,,,,,,,,,TUM,Finance & Business Services,EDUCATE
BetaTUM Student Beta Tester Community,B,https://betatum.org/,,,,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
Betonkanu TU München,B,https://www.instagram.com/betonkanu.tum,,,https://www.instagram.com/betonkanu.tum,,,,,,,,,,,TUM,Mobility & Transport,COMPETE
bonding-studenteninitiative e.V.,B,https://münchen.bonding.de/,,,,,,,,,,,,,,LMU,Professional & Career Networks,NETWORK
btS – Life Sciences Studierendeninitiative,B,https://bts-ev.de/,,,,,,,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
Campus Traders,B,,,,,,,,,,,,,https://linktr.ee/campustraders,,TUM,Finance & Business Services,EDUCATE
cog!to,B,https://www.cogito-muenchen.de/,,https://de.linkedin.com/company/ppimunich,https://www.instagram.com/p/DRw0eH8DAcV,,,https://www.facebook.com/PPIMunich,https://www.youtube.com/@PpiMuenchen,,,,,,,LMU,"AI, Data & Software",EDUCATE
ConsulTUM Club,B,https://www.consultumstudentclub.com/,,,,,,,,,,,,,,TUM,Finance & Business Services,CONSULT
Edunovo,B,https://www.edunovo.de/,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
EESTEC Munich,B,https://eestec.net/cities/munich,,,,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
EI Girls,B,mailto:ei.girls.tu@gmail.com,,,,,,,,,,,,,,TUM,"AI, Data & Software",NETWORK
ELSA München e.V.,B,https://www.elsa-muenchen.de/,,,,,,,,,,,,,,LMU,Professional & Career Networks,NETWORK
ETHER,B,https://www.instagram.com/ether_rfteam,,,https://www.instagram.com/ether_rfteam,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
EUROAVIA München,B,,info@euroavia-muenchen.de,,https://www.instagram.com/jacc.muenchen,,,,,,,,,https://linktr.ee/euroavia.munich,,TUM,Aerospace & Space,NETWORK
EyeVoices,B,https://www.eyevoices.com/,,,,,,,,,,,,,,TUM,Social Impact & Education,BUILD
Family Business Club,B,https://www.family-business-club.de/,,https://www.linkedin.com/company/fn-munich,https://www.instagram.com/financenetworkmunich,,,,,,,,,,,TUM,Finance & Business Services,NETWORK
Finance Network Munich e.V,B,https://fn-munich.de/,,,,,,,,,,,,,,HM,Finance & Business Services,NETWORK
Global Shapers Munich,B,https://globalshapersmunich.org/,,,,,,,,,,,,,,TUM,Social Impact & Education,NETWORK
HoKo,B,https://hochschulkontaktmesse.com/,,,,,,,,,,,,,,HM,Professional & Career Networks,NETWORK
IAESTE an der TUM,B,https://iaeste-muenchen.de/de,,,,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
IKOM,B,https://ikom-tum.de/,info@ikom-tum.de,,,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
Information Systems Association,B,https://information-systems.club/,,,,,,,,,,,,,,TUM,"AI, Data & Software",NETWORK
Ingenieure ohne Grenzen,B,https://www.ingenieure-ohne-grenzen.org/de/mitmachen/regionalgruppe-muenchen,,,,,,,,,,,,,,TUM,Social Impact & Education,BUILD
ISPE SC München – International Society for Pharmaceutical Engineering,B,https://ispe-dach.org/student-chapter-muenchen,,,,,,,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
Lern-Fair Munich,B,https://www.lern-fair.de/,,,,,,,,,,,,,,TUM,Social Impact & Education,BUILD
Maker Lab (Faculty 11),B,,,,,,,,,,,,,,,HM,Robotics & Hardware,EDUCATE
MLTech,B,https://www.ml-tech.org/,,https://www.linkedin.com/company/mltech-student-association/,,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
MTP,B,http://www.mtp.org/,,https://de.linkedin.com/in/kim-laura-fischer-6962b9181,https://instagram.com/brandillig?igshid=YmMyMTA2M2Y=,https://twitter.com/DerNicopolidis,,,https://www.youtube.com/m945_muenchen,,,,,,,HM,Professional & Career Networks,EDUCATE
MTP – Marketing zwischen Theorie und Praxis,B,https://www.mtp.org/verein/geschaeftsstellen/muenchen,,https://www.linkedin.com/company/mtp---marketing-zwischen-theorie-und-praxis-e.v.?originalSubdomain=de,https://www.instagram.com/mtpev?hl=de,,,,https://www.youtube.com/user/MTPeV,,https://www.tiktok.com/@mtpev,,,,,TUM,Professional & Career Networks,EDUCATE
MUC.DAI,B,https://mucdai.hm.edu,,https://www.linkedin.com/showcase/muc.dai,https://www.instagram.com/muc.dai,,,,https://www.youtube.com/channel/UCx-VipFK-0IVI2R2pQD5UOQ,,,,,,,HM,"AI, Data & Software",EDUCATE
Munich Bioneers,B,https://sensus.org/munich-bioneers-0,,,,,,,,,,,,,,TUM,Biotech & Life Sciences,EDUCATE
Munich Business and Finance Club e.V.:,B,https://www.munichbfc.de/,,,,,,,,,,,,,,LMU,Finance & Business Services,NETWORK
Munich FinanceCircle,B,https://munichfinancecircle.de/,,,,,,,,,,,,,,TUM,Finance & Business Services,NETWORK
Munich Music Labs,B,https://munichmusiclabs.com/,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
Nachhoelzer,B,https://www.instagram.com/nachhoelzer,,,https://www.instagram.com/nachhoelzer,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
neuroTUM,B,https://www.instagram.com/neuro.tum/reels,,https://www.linkedin.com/company/neurotum/,https://www.instagram.com/neuro.tum/reels,,,,,https://github.com/neuroTUM,,,,,,TUM,"AI, Data & Software",EDUCATE
