Name,Website,Email,LinkedIn,Instagram,X/Twitter,Discord,Facebook,YouTube,GitHub,TikTok,Slack,University,Sector
Akademische Energiegenossenschaft @ TUM,https://umwelt.asta.tum.de/en/academic-energy-cooperative/,,,,,,,,,,,TUM,Sustainability & CleanTech
Akaflieg München e.V.,https://www.akaflieg.vo.tum.de/,info@akaflieg-muenchen.de,https://www.linkedin.com/company/akaflieg-münchen,https://www.instagram.com/akaflieg_muenchen,,,,https://www.youtube.com/user/akafliegmuenchen,,,,TUM/HM,Aerospace & Space
AkaModell,https://akamodell-muenchen.de/,vorstand@akamodell-muenchen.de,https://de.linkedin.com/company/akamodell,https://www.instagram.com/akamodell/,,,https://www.facebook.com/akamodell/,https://www.youtube.com/channel/akamodellmunchen,,,,TUM,Aerospace & Space
Aviation Innovation Research (AIR),https://air-initiative.com/work,,https://www.linkedin.com/company/air-initiative,https://www.instagram.com/air.initiative,,,,,,,,TUM,Aerospace & Space
Biogenesis,https://biogenesismunich.com/,,https://www.linkedin.com/company/biogenesi-munich,,,,,,,,,TUM,Biotech & Life Sciences
Bioinformatics Munich Student Lab,https://bmsl.dev/,bioinformaticsmunichstudentlab@gmail.com,,,,,,,https://github.com/Bioinformatics-Munich-Student-Lab,,,TUM,Biotech & Life Sciences
c.lab – Creative Lab,http://creative-lab-hm.de/,,,,https://x.com/clab_hm,,,,,,,HM,Entrepreneurship & Innovation
Claude Builders Club Munich,https://www.linkedin.com/company/claude-builders-club-munich,,https://www.linkedin.com/company/claude-builders-club-munich,,,,,,,,,TUM,"AI, Data & Software"
DASH (Exoskeleton Team),https://tumdash.com/,,https://de.linkedin.com/company/tumdash,,,,,,,,,TUM,Robotics & Hardware
Edventure @ TUM,https://edventuretum.wordpress.com/,,,,,,,,,,,TUM,Entrepreneurship & Innovation
Elara Aerospace,https://elara-aerospace.com/,tobias.jager@elara-aerospace.com,https://www.linkedin.com/company/elara-aerospace/,https://www.instagram.com/elara_aerospace/,,,,,https://github.com/elara-aerospace,,,TUM,Aerospace & Space
Enactus München,https://enactus-muenchen.de/,team@enactus-muenchen.de,https://www.linkedin.com/company/enactus-muenchen/,https://www.instagram.com/enactusmuenchen_,,,,https://www.youtube.com/user/enactusMunich/videos?app=desktop&view=0&sort=dd&shelf_id=0,,,,TUM,Entrepreneurship & Innovation
Enactus Straubing,https://enactus-straubing.de/,teamvorstand@straubing.enactus.team,https://de.linkedin.com/company/enactus-straubing,,,,,,,,,TUM,Entrepreneurship & Innovation
Falcon Vision,https://falconvision.org/,contact@falconvision.org,https://www.linkedin.com/in/falcon-vision-888235303/,,,,,,,,,TUM,Aerospace & Space
Flightlab,https://www.hm-flightlab.com/,,https://www.linkedin.com/company/hm-flightlab,https://www.instagram.com/flightlab_muc,,,,,,,,HM,Aerospace & Space
Future Foods,https://www.linkedin.com/company/future-foods-tum,,https://www.linkedin.com/company/future-foods-tum,,,,,,,,,TUM,Sustainability & CleanTech
Future Founders Initiative,https://ffievents.com/event/muenchen,,,,,,,,,,,TUM,Entrepreneurship & Innovation
